EventID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date,Keywords,Topics
E91,Robotics Workshop: Hands-On Basics,RR Campus,IEEE RAS,"A hands-on workshop introducing the basics of robotics. Participants will learn about the components, programming, and practical aspects of building and controlling robots.",Hands-On Basics Workshop Certificates,2023-06-12 0:00:00,"['introducing', 'Robotics and Automation',  'programming', 'practical', 'workshop',  'building', 'components', 'technology', 'hands', 'basics', 'robotics', 'aspects', 'robots', 'controlling', 'automation']","[(0, 0.26900639146565436), (4, 0.680743926255702)]"
E98,Language Learning Workshop: Basics,RR Campus,Linguista!,"A workshop introducing the basics of language learning. Participants will explore effective language learning strategies, linguistic fundamentals, and engage in practical exercises to enhance their language skills.",Language Basics Workshop Certificates,2023-06-13 0:00:00,"['introducing',  'language', 'exercises', 'effective',  'enhance', 'strategies', 'explore', 'workshop', 'practical', 'linguistic', 'skills', 'fundamentals', 'basics', 'learning']","[(0, 0.10015796005327356), (1, 0.843639644358754)]"
E105,Women in Tech Symposium,RR Campus,MahilAI,"A symposium focused on women's contributions and challenges in the field of technology. Participants will hear from women leaders, engage in discussions, and explore ways to overcome gender disparities in the tech industry.",Women in Tech Symposium Certificates,2023-07-08 0:00:00,"['pandemic', 'field', 'leaders', 'challenges', 'focused', 'disparities', 'overcome',  'symposium', 'use', 'discussions', 'hear', 'AI', 'contributions', 'leverage', 'way', 'pave',  'ai', 'time', 'end', 'gender', 'technology', 'women', 'immemorial', 'battling', 'explore', 'industry', 'ways', 'injustice', 'technology', 'technology']","[(0, 0.9239029985158965), (7, 0.04732092271642211)]"
E112,Fashion Show: Vogue Vista,RR Campus,Meraki,"A dazzling fashion show showcasing the latest trends and designs. Participants will witness a display of creativity, style, and innovation in the world of fashion.",Vogue Vista Fashion Show Awards,2023-07-09 0:00:00,"['witness', 'style', 'designs', 'showcasing',  'fashion', 'trends', 'latest', 'display', 'innovation', 'world', 'creativity', 'dazzling']","[(0, 0.25762725315749496), (1, 0.6775238288563851)]"
E119,Music Jam Session: Harmony Unleashed,RR Campus,Music Club of PES,"A jam session bringing together musicians and music enthusiasts. Participants will experience a blend of musical genres, collaborative performances, and the joy of creating harmonious melodies.",Harmony Unleashed Jam Session Certificates,2023-07-10 0:00:00,"['musicians', 'experience',  'performances', 'music', 'collaborative', 'enthusiasts', 'musical', 'bringing', 'joy', 'jam', 'session', 'creating', 'genres', 'melodies', 'blend', 'harmonious']","[(0, 0.7021310522223472), (17, 0.24437290487420818)]"
E30,Personality Enrichment Seminar,RR Campus,DHRUVA Forum,"A seminar aiming to enrich participants' personalities. Topics include communication skills, emotional intelligence, and personal branding to help individuals face life's challenges with confidence.",Enrichment Seminar Recognition,2023-07-11 0:00:00,"[ 'face', 'leaders', 'emotional', 'challenges', 'help', 'skills', 'development', 'personality',  'intelligence', 'confidence', 'aiming', 'educating', 'topics', 'enrich', 'personalities', 'communication', 'life', 'personal', 'include', 'seminar', 'individuals', 'branding']","[(1, 0.24810467720119886), (28, 0.71229845780385)]"
E126,Classical Concert: Raga Resonance,RR Campus,Ninaada,A classical concert featuring the resonating ragas of Indian music. Participants will experience the beauty and depth of classical music performed by talented artists.,Raga Resonance Concert Commemorative Tokens,2023-07-11 0:00:00,"['ragas', 'Indian', 'indian', 'experience',  'music', 'resonating', 'performed', 'featuring', 'classical', 'talented', 'depth', 'concert', 'beauty', 'dance', 'forum', 'artists']","[(17, 0.2828933416009909), (132, 0.6593477691523865)]"
E47,Stargazing Night,RR Campus,Equinox-The Space Club,"An evening dedicated to stargazing and celestial observation. Participants will have the opportunity to use telescopes, learn about constellations, and appreciate the wonders of the night sky.",Stargazing Night Astronomer Certificates,2023-07-12 0:00:00,"['stargazing', 'appreciate', 'telescopes',  'observation', 'use', 'sky', 'science', 'dedicated', 'evening', 'constellations', 'celestial',  'night',  'Space Science and Technology', 'wonders', 'space', 'technology']","[(0, 0.13089230190479556), (2, 0.8241361944284011)]"
E136,Debating Workshop Series,RR Campus,PES DebSoc,"A series of workshops focusing on various aspects of debating. Participants will learn and enhance their debating skills, including argumentation, persuasion, and public speaking.",Debating Handbooks,2023-07-12 0:00:00,"['persuasion', 'public', 'debating', 'focusing',  'enhance', 'workshops', 'series',  'argumentation', 'skills', 'teach', 'various', 'parliamentary', 'aspects', 'speaking', 'including']","[(1, 0.7530123455897811), (9, 0.19090073053305945)]"
E55,Unity Workshop: Basics of Game Development,RR Campus,Game development club,"A workshop introducing the basics of game development using the Unity game engine. Participants will learn about game design, coding, and the fundamentals of creating interactive experiences.",Unity Workshop Certificates,2023-07-13 0:00:00,"['using', 'Unity', 'introducing', 'game',  'development',  'design', 'create', 'experiences', 'engine', 'basics', 'workshop',  'creating', 'games', 'unity', 'coding', 'fundamentals', 'developers']","[(1, 0.9489745993814834)]"
E146,Entrepreneurship Bootcamp,RR Campus,PES Entrepreneurship Cell,A comprehensive bootcamp providing aspiring entrepreneurs with the foundational knowledge and skills needed to start and grow successful businesses.,Entrepreneurship Toolkits,2023-07-13 0:00:00,"['needed', 'grow', 'entrepreneurship', 'successful', 'start', 'knowledge', 'bootcamp', 'comprehensive', 'skills', 'providing', 'businesses', 'aspiring', 'entrepreneurs', 'foundational']","[(1, 0.33333542013013684), (11, 0.607155665366674)]"
E62,Android App Development Workshop,RR Campus,Google Developer Student Clubs (GDSC),"A workshop focusing on Android app development. Participants will learn about app architecture, UI/UX design, and implementation of key features using Google technologies.",Android Development Kits,2023-08-08 0:00:00,"['UI/UX', 'Google', 'Google Developer Student Clubs', 'ux', 'features', 'using', 'key', 'development',  'design', 'developer', 'implementation', 'android', 'ui', 'google', 'architecture', 'focusing', 'workshop',  'app', 'Android', 'technologies']","[(1, 0.9617309143921066)]"
E156,Innovation Challenge,RR Campus,PES Innovation Lab,"A challenge where participants work in teams to solve carefully chosen real-world problems through innovative solutions. The event encourages creativity, problem-solving, and collaboration among students.",Innovation Certificates,2023-08-08 0:00:00,"['challenge', 'real', 'collaboration', 'research',  'solve', 'world', 'innovative', 'problem',  'teams', 'solving',  'work', 'chosen', 'creativity', 'solutions', 'students', 'carefully', 'problems']","[(0, 0.9486343044059531)]"
E72,Tech Talk Series: Emerging Technologies,RR Campus,HackerSpace,"A series of tech talks focusing on emerging technologies and their impact. Industry experts and club members will share insights into the latest trends, innovations, and real-world applications.",Tech Gadgets,2023-08-09 0:00:00,"['share', 'real', 'trends', 'innovations', 'talks', 'world', 'development', 'experts', 'latest', 'technical', 'focusing', 'club', 'series', 'technology', 'insights', 'emerging', 'impact',  'coding', 'industry', 'technology', 'applications', 'developers']","[(0, 0.4616995151878316), (1, 0.5016467485591436)]"
E166,MUN Workshop Series,RR Campus,PES MUN Society,"A series of workshops focusing on Model United Nations (MUN) simulations. Participants will learn the art of diplomacy, public speaking, and research in the context of international relations.",MUN Handbooks,2023-08-09 0:00:00,"['law', 'art', 'context', 'model', 'international', 'research', 'simulations', 'world',  'nations', 'workshops', 'Model United Nations', 'academic', 'policy', 'speaking', 'focusing',  'series', 'united', 'relations', 'public', 'india', 'diplomacy', 'MUN', 'mun']","[(11, 0.4413817352509854), (85, 0.5213760601120718)]"
E82,Technical Paper Presentation,RR Campus,IEEE PESU Student Branch,"A competition where students present technical papers on innovative topics. The event encourages research and presentation skills, providing a platform for students to share their technical insights.",Best Paper Presentation Awards,2023-08-10 0:00:00,"['ieee', 'platform', 'topics', 'share', 'present',  'IEEE', 'presentation', 'students', 'research', 'papers', 'technical', 'skills',  'providing', 'competition', 'innovative', 'insights']","[(1, 0.9459730851631782)]"
E176,Open Source Hackathon: Code Collaboration,RR Campus,PES Open Source,"A hackathon focused on collaborative coding for open source projects. Participants will work together to contribute code, solve real-world problems, and enhance their technical skills.",Code Collaboration Hackathon Certificates,2023-08-10 0:00:00,"['Open Source Projects', 'real', 'collaborative', 'projects', 'open', 'focused', 'contribute', 'skills', 'solve', 'world',  'hackathon', 'technical', 'enhance', 'work', 'knowledge', 'source', 'coding', 'coding', 'problems']","[(1, 0.95825193632751)]"
E92,Automation Seminar: Emerging Technologies,RR Campus,IEEE RAS,"A seminar discussing emerging technologies in automation. Participants will explore advancements in the field, with talks on AI-driven automation, smart systems, and their applications.",Emerging Technologies Seminar Certificates,2023-08-11 0:00:00,"['advancements', 'smart', 'Robotics and Automation',  'field', 'explore', 'ai', 'seminar', 'driven', 'talks', 'technology', 'applications', 'robotics', 'discussing', 'systems', 'automation', 'emerging']","[(0, 0.9513377151314663)]"
E191,"Photography Exhibition: ""Lens Magic""",RR Campus,Pixelloid,"An exhibition showcasing the photography talents of Pixelloid members. 'Lens Magic' features a diverse collection of captivating photographs, allowing participants to appreciate the art of photography.",Lens Magic Photography Awards,2023-08-11 0:00:00,"['photographs', 'art', 'Pixelloid', 'photography', 'features', 'allowing', 'magic', 'appreciate', 'showcasing',  'talents', 'collection', 'photo', 'promos', 'captivating', 'movies', 'pixelloid', 'exhibition', 'diverse', 'lens',  ""Lens Magic'""]","[(84, 0.9546474191807882)]"
E99,Cultural Language Exchange,RR Campus,Linguista!,"An event promoting cultural exchange through language. Participants will have the opportunity to practice and learn different languages in a relaxed and friendly environment, fostering cross-cultural connections.",Cultural Exchange Participation Tokens,2023-08-12 0:00:00,"['fostering', 'relaxed',  'language',    'practice',  'cross', 'friendly', 'environment', 'languages', 'cultural', 'exchange', 'promoting', 'connections']","[(1, 0.9293494638964386)]"
E201,Quantum Computing Basics Workshop,RR Campus,QForest,"A workshop introducing the basics of quantum computing. Participants will learn about quantum bits, quantum gates, and the fundamental principles that form the basis of quantum computation.",Quantum Computing Starter Kits,2023-08-12 0:00:00,"['introducing', 'basis', 'principles',  'gates', 'fundamental', 'computing', 'techcomputing', 'quantum', 'workshop',  'computation', 'projects', 'form', 'basics', 'bits', 'Quantum Computing']","[(1, 0.5922021230554757), (6, 0.3548231222826787)]"
E106,Tech for Equality Workshop,RR Campus,MahilAI,"A workshop exploring the use of technology for promoting gender equality. Participants will learn about initiatives, projects, and technologies that contribute to addressing societal issues related to women.",Equality Workshop Participation Tokens,2023-08-13 0:00:00,"['addressing', 'pandemic', 'projects', 'contribute', 'societal',  'exploring', 'use', 'AI', 'promoting', 'leverage', 'way', 'pave', 'ai', 'time', 'workshop',  'gender', 'end', 'related', 'equality', 'women', 'immemorial', 'initiatives', 'battling', 'issues', 'injustice', 'technology', 'technology']","[(0, 0.9669792427129918)]"
E248,TEDxPESU Talk Series: Climate Change Perspectives,RR Campus,TEDxPESU,"Join us for an insightful talk on Climate Change Perspectives. Engage with experts from various fields as they discuss the current state of climate change, its impact, and potential solutions.",Participation Certificates,2023-08-13 0:00:00,"['talk', 'fields', 'state', 'experts', 'perspectives', 'academic', 'awareness', 'insightful',  'join', 'change', 'knowledge', 'various', 'discuss', 'solutions', 'impact', 'current', 'potential', 'social', 'climate']","[(11, 0.9512910196991505)]"
E113,Designer's Workshop: Trends Unveiled,RR Campus,Meraki,"A workshop unveiling the latest fashion trends. Participants will gain insights into the world of fashion design, explore emerging styles, and learn about the process of trendsetting.",Trends Unveiled Workshop Certificates,2023-09-08 0:00:00,"['unveiling', 'trendsetting',  'fashion', 'explore', 'trends', 'workshop', 'latest',  'design', 'process', 'styles', 'gain', 'world', 'insights', 'emerging']","[(0, 0.9383611131776396)]"
E255,Coding Competition: AlgoMasters,RR Campus,The Alcoding CLub,"A coding competition challenging participants to showcase their algorithmic skills. Participants will solve a series of coding problems, competing for recognition and prizes.",Coding Mastery Certificates,2023-09-08 0:00:00,"[  'algorithms', 'coding', 'series', 'problems', 'showcase', 'learning', 'skills', 'competition', 'technical', 'solve', 'algorithmic', 'competing', 'recognition', 'challenging']","[(0, 0.9383611623994179)]"
E120,Acoustic Night: Melodies Under the Stars,RR Campus,Music Club of PES,"An acoustic night featuring soulful melodies under the stars. Participants will enjoy performances by acoustic musicians, creating a serene and intimate musical atmosphere.",Melodies Under the Stars Acoustic Night Tokens,2023-09-09 0:00:00,"['soulful', 'musicians',  'performances', 'musical', 'music', 'serene', 'night', 'intimate', 'featuring', 'acoustic', 'creating', 'enjoy', 'atmosphere', 'melodies', 'stars']","[(3, 0.5038178067503042), (7, 0.0548664991886187), (17, 0.3831378768213831)]"
E272,"Book Discussion: ""Literary Voyage""",RR Campus,The Grimm Readers,"A book discussion session titled 'Literary Voyage.' Participants will delve into the selected literary work, sharing their insights, interpretations, and engaging in thoughtful discussions about the book.",Literary Voyage Book Discussion Certificates,2023-09-09 0:00:00,"['reader', 'engaging', 'discussion', 'literature',  'voyage', 'discussions', 'selected', 'interpretations', 'book', 'reading', 'work', 'Literary Voyage', 'readers', 'literary', 'thoughtful', 'insights', 'community', 'sharing', 'titled', 'session', 'delve']","[(1, 0.6395509404030558), (119, 0.32063380560158306)]"
E127,Kathak Fusion Dance Showcase,RR Campus,Ninaada,A fusion dance showcase blending traditional Kathak dance with contemporary elements. Participants will witness a mesmerizing performance that combines classical grace with modern creativity.,Fusion Dance Showcase Appreciation Certificates,2023-09-10 0:00:00,"['performance', 'modern', 'blending', 'witness', 'fusion', 'combines',  'dance', 'kathak', 'Kathak', 'traditional', 'forum', 'music', 'elements', 'classical', 'creativity', 'mesmerizing', 'contemporary', 'grace', 'showcase', 'indian']","[(136, 0.9524675364687538)]"
E282,"Stage Play: ""Drama Delight""",RR Campus,The Nautanki Team,"A captivating stage play performance titled 'Drama Delight.' The event showcases the dramatic talents of the team, featuring compelling narratives, engaging characters, and theatrical excellence.",Drama Delight Trophies,2023-09-10 0:00:00,"['performance', 'stage', 'Drama Delight', 'delight', 'engaging', 'comedic', 'narratives', 'showcases', 'talents', 'excellence', 'acts', 'theatrical', 'drama', 'theatre', 'characters', 'performing', 'team', 'featuring', 'captivating', 'dramatics', 'comedy', 'plays', 'mime', 'compelling', 'titled',  'dramatic', 'sketches', 'play']","[(102, 0.9668674599442069)]"
E137,Inter-University Debate Tournament,RR Campus,PES DebSoc,"An inter-university debate tournament bringing together debating enthusiasts from various institutions. Teams will compete in parliamentary debates, showcasing their skills and perspectives.",Tournament Trophies,2023-09-11 0:00:00,"['institutions', 'compete', 'debate', 'showcasing', 'inter', 'debating', 'tournament', 'perspectives', 'enthusiasts', 'bringing', 'university', 'skills', 'teams', 'debates', 'various', 'teach', 'parliamentary']","[(1, 0.4896064442291946), (11, 0.4608027968582645)]"
E292,Film Screening Night,RR Campus,Through The Lens,Join us for a captivating Film Screening Night featuring a selection of thought-provoking and entertaining short films. Engage in discussions and share your insights with fellow film enthusiasts.,Participation Certificates,2023-09-11 0:00:00,"['share', 'enthusiasts', 'discussions', 'screening', 'selection', 'thought',  'short', 'films', 'join', 'film', 'featuring', 'night', 'captivating', 'Film Screening Night', 'make', 'discuss', 'insights', 'entertaining', 'fellow', 'provoking', 'watch', 'group']","[(62, 0.9602471123850796)]"
E36,Art Showcase Exhibition,RR Campus,DSGNR,"A showcase exhibition featuring the artistic creations of club members. Attendees can explore a diverse range of artworks, including paintings, sculptures, and digital art.",Art Supplies,2023-09-12 0:00:00,"['art', 'paintings', 'artworks', 'including', 'sculptures', 'design', 'workshops', 'attendees', 'talent', 'artistic', 'club', 'featuring', 'creative', 'creations', 'exhibition', 'digital', 'diverse', 'range',  'explore', 'showcase']","[(1, 0.9562639491592542)]"
E147,Startup Pitch Competition,RR Campus,PES Entrepreneurship Cell,A competition where students pitch their startup ideas to a panel of judges. Participants will receive constructive feedback and have the chance to win prizes to kickstart their ventures.,Startup Funding Opportunities,2023-09-12 0:00:00,"['startup', 'entrepreneurship',   'judges', 'ideas', 'pitch', 'feedback', 'win', 'ventures', 'students', 'constructive', 'panel', 'kickstart', 'receive', 'competition', 'chance']","[(18, 0.9382683311669999)]"
E157,Research Symposium,RR Campus,PES Innovation Lab,"A symposium showcasing student research projects. Participants will present their findings, engage in discussions, and gain insights into various research areas and methodologies.",Research Excellence Awards,2023-09-13 0:00:00,"['areas', 'student',  'showcasing', 'present', 'symposium',  'findings', 'projects', 'various', 'discussions', 'research', 'gain', 'methodologies', 'problems', 'insights']","[(1, 0.27325715670447365), (42, 0.6661386188374439)]"
E183,Short Film Festival: Showcase Your Talent,RR Campus,PESU ACTIONCUT,"A short film festival providing a platform for members to showcase their filmmaking talents. Participants can submit their short films for screening, and the event will conclude with an awards ceremony.",Talent Showcase and Awards,2023-09-13 0:00:00,"[ 'films', 'platform', 'short',  'shorts', 'conclude', 'talents', 'festival', 'film', 'submit', 'filmmaking', 'screening', 'ceremony', 'providing',  'awards', 'showcase']","[(0, 0.7321826699382251), (1, 0.21512758419805292)]"
E167,International Relations Symposium,RR Campus,PES MUN Society,"A symposium exploring topics in international relations, law, and policy. Participants will engage in discussions and presentations, gaining insights into global affairs and current developments.",Global Affairs Certificates,2023-10-10 0:00:00,"['presentations', 'global', 'law', 'international', 'research', 'world', 'affairs', 'symposium', 'exploring',  'discussions', 'academic', 'policy', 'speaking',  'topics', 'gaining', 'relations', 'insights', 'current', 'developments', 'india', 'diplomacy']","[(2, 0.9556885602568616)]"
E211,ConQuizTador 2024: National Quizzing Event,RR Campus,Quotient Quiz Club,"ConQuizTador 2024, a national-level quizzing event open to students from grade 8 to 12. The event aims to bring together quizzing enthusiasts from across the country and test their knowledge on a wide range of topics.",National Quizzing Event Trophies and Certificates,2023-10-10 0:00:00,"['aims', 'ieee', 'quizzing', '8', 'conquiztador', '12', 'open', 'national', 'test', 'enthusiasts', 'bring', 'level', 'grade', 'topics', 'quiz', 'knowledge', 'country', 'range', 'wide', 'students',  '2024']","[(1, 0.19787438317942477), (64, 0.26584446913440307), (90, 0.4951882473969759)]"
E177,Workshop: Git and GitHub Mastery,RR Campus,PES Open Source,"A workshop providing in-depth training on Git and GitHub. Participants will learn version control, collaboration workflows, and best practices for contributing to open source projects.",Git and GitHub Mastery Workshop Certificates,2023-10-11 0:00:00,"['Open Source Projects', 'git', 'projects', 'open', 'collaboration', 'github',  'GitHub', 'providing', 'technical', 'best', 'Git', 'control', 'workshop',  'knowledge', 'version', 'workflows', 'source', 'contributing', 'depth', 'training', 'practices']","[(1, 0.9617309537257696)]"
E227,Aeromodelling Workshop,RR Campus,Team Aeolus,Join us for an interactive aeromodelling workshop where participants will learn the basics of building and flying model aircraft. Get hands-on experience and insights into the world of aeromodelling.,Participation Certificates,2023-10-11 0:00:00,"[ 'join', 'experience',  'model', 'workshop',  'aircraft', 'building', 'world', 'aerial', 'hands', 'basics', 'robotics', 'flying', 'insights', 'aeromodelling']","[(0, 0.9383611939797306)]"
E256,Algorithm Workshop Series,RR Campus,The Alcoding CLub,"A series of workshops focusing on different algorithms and data structures. Participants will learn key concepts, problem-solving strategies, and techniques to optimize their code.",Algorithm Mastery Toolkits,2023-10-11 0:00:00,"['key', 'problem',  'optimize',  'strategies', 'structures', 'workshops', 'technical', 'solving', 'data', 'focusing', 'concepts',  'techniques', 'series', 'learning', 'coding', 'coding', 'algorithms']","[(0, 0.9486342567839076)]"
E192,Campus Life Documentary Project,RR Campus,Pixelloid,"A documentary project capturing the essence of campus life through photography. Participants will document various events, activities, and moments on campus, creating a visual narrative of student life.",Documentary Project Recognition,2023-10-12 0:00:00,"['essence', 'photography',  'document', 'moments', 'documentary', 'visual', 'project', 'capturing', 'photo', 'life', 'narrative', 'promos', 'movies', 'creating', 'various', 'activities', 'student', 'campus', 'events']","[(41, 0.9504489681500458)]"
E241,Indian Dance Workshop,RR Campus,Team Sanskrithi,"Embark on a cultural journey with our Indian Dance Workshop. Learn the nuances of Indian contemporary dance forms. Join us for a day filled with rhythm, movement, and cultural exploration.",Participation Certificates,2023-10-12 0:00:00,"['Indian', 'movement', 'join', 'cultural', 'exploration', 'workshop', 'filled', 'nuances',  'contemporary', 'dance', 'embark', 'rhythm', 'day', 'a day', 'journey', 'forms', 'indian']","[(11, 0.9487274652739716)]"
E273,Author Q&A Session,RR Campus,The Grimm Readers,"An interactive Q&A session with a renowned author. Participants will have the opportunity to ask questions, gain insights into the author's writing process, and discuss the themes of their literary works.",Author Q&A Session Participation Certificates,2023-10-12 0:00:00,"['reader', 'themes',  'renowned', 'literature',  'writing', 'discussions', 'gain', 'book',  'reading', 'readers', 'literary', 'ask', 'discuss', 'insights', 'community', 'works', 'process', 'questions', 'session', 'author']","[(26, 0.9528899580580873)]"
E202,Quantum Programming Hackathon,RR Campus,QForest,A hackathon challenging participants to solve problems using quantum programming languages. Participants will gain hands-on experience with quantum algorithms and software development.,Quantum Programming Books,2023-10-13 0:00:00,"['development', 'experience',  'techcomputing', 'programming', 'projects', 'quantum', 'software', 'using', 'problems', 'solve', 'hands', 'hackathon', 'languages', 'gain', 'algorithms', 'challenging', 'Quantum Computing']","[(0, 0.43415252013927536), (1, 0.29942963712798565), (7, 0.22375931816162872)]"
E283,Street Play Festival,RR Campus,The Nautanki Team,"A festival of street plays bringing drama to the outdoor spaces of the campus. Participants will perform short and impactful plays, addressing social issues and entertaining the audience.",Street Play Applause Certificates,2023-10-13 0:00:00,"['audience', 'addressing', 'stage', 'impactful', 'comedic', 'street',  'spaces', 'acts', 'drama', 'theatre', 'short', 'performing', 'perform', 'outdoor', 'bringing', 'dramatics', 'comedy', 'plays', 'mime', 'entertaining', 'issues', 'campus', 'festival', 'social', 'sketches']","[(12, 0.9622230005199719)]"
E299,Rhythmic Fusion Dance Showcase,RR Campus,Trance,Witness the magic of Rhythmic Fusion! Join our dance showcase where talented performers express their unique styles and rhythms in a captivating dance performance.,Appreciation Certificates,2023-10-13 0:00:00,"['performance', 'witness', 'fusion', 'join', 'magic', 'talent', 'rhythmic', 'express', 'unique', 'rhythms', 'captivating', 'styles', 'talented', 'dance', 'showcase', 'Rhythmic Fusion', 'performers']","[(66, 0.9477177728467164)]"
E313,Writer's Workshop: Crafting Short Stories,RR Campus,Write Angle,Join our Writer's Workshop focused on crafting short stories. This event provides a platform for writers to enhance their storytelling skills and share their creative narratives.,Participation Certificates,2023-10-14 0:00:00,"['write', 'share', 'platform', 'focused', 'skills', 'writer', 'narratives', 'literature', 'stories', 'storytelling', 'crafting', 'provides', 'short', 'join', 'enhance', 'talent', 'workshop', 'creative', 'literary', 'writers', 'event']","[(1, 0.9582519175112538)]"
E2,Research Symposium,RR Campus,ACM-W,An interactive symposium showcasing women's contributions to research. Attendees will have the opportunity to learn about cutting-edge research in various domains and participate in insightful discussions.,Certificate of Recognition,2023-10-15 0:00:00,"['areas', 'student',  'showcasing', 'present', 'symposium',  'findings', 'projects', 'various', 'discussions', 'research', 'gain', 'methodologies', 'problems', 'insights']","[(1, 0.27325715670447365), (42, 0.6661386188374439)]"
E220,Health and Wellness Workshop,RR Campus,Rotaract Club of PES University,"A workshop focused on promoting health and wellness. Participants will learn about healthy living, fitness routines, and mental well-being. Join us for an interactive and informative session.",Wellness Workshop Certificates,2023-11-15 0:00:00,"['living', 'service', 'health', 'fitness', 'focused', 'informative', 'Social Service',  'mental',  'wellness', 'promoting', 'join', 'workshop',  'session', 'routines', 'social', 'healthy']","[(1, 0.7521215142409944), (30, 0.19726007743490578)]"
